"","Rk","Pk","Tm","Player","College","Yrs","G","TOTMP","TOTPTS","TOTTRB","TOTAST","FG%","3P%","FT%","WS","WS/48","BPM","VORP","DraftYr","MPG","PPG","RPG","APG","playerurl","DraftYear"
"862",14,14,"MIN","Rashad McCants","UNC",4,249,5037,2479,506,331,0.431,0.368,0.741,3.6,0.035,-1.7,0.4,2005,20.2,10,2,1.3,"https://www.sports-reference.com/cbb/players/rashad-mccants-1.html",2005
"863",15,15,"BRK","Antoine Wright","Texas A&M",6,297,5714,1614,681,295,0.412,0.304,0.674,3.1,0.026,-3.7,-2.4,2005,19.2,5.4,2.3,1,"https://www.sports-reference.com/cbb/players/antoine-wright-1.html",2005
"864",16,16,"TOR","Joey Graham","Oklahoma State",6,377,6117,2239,1058,207,0.483,0.3,0.815,7.8,0.061,-3.6,-2.4,2005,16.2,5.9,2.8,0.5,"https://www.sports-reference.com/cbb/players/joey-graham-1.html",2005
"865",17,17,"IND","Danny Granger","New Mexico",10,586,18487,9855,2888,1097,0.434,0.38,0.848,48.5,0.126,1.8,17.7,2005,31.5,16.8,4.9,1.9,"https://www.sports-reference.com/cbb/players/danny-granger-1.html",2005
"866",18,18,"BOS","Gerald Green","",12,658,13026,6412,1639,596,0.417,0.361,0.818,18.4,0.068,-1.3,2.4,2005,19.8,9.7,2.5,0.9,NA,2005
"867",19,19,"MEM","Hakim Warrick","Syracuse",8,526,10624,4947,2117,400,0.49,0.191,0.726,20.4,0.092,-1.9,0.4,2005,20.2,9.4,4,0.8,"https://www.sports-reference.com/cbb/players/hakim-warrick-1.html",2005
"868",20,20,"DEN","Julius Hodge","NC State",2,23,98,28,15,18,0.44,NA,0.5,0,0.003,-3.7,0,2005,4.3,1.2,0.7,0.8,"https://www.sports-reference.com/cbb/players/julius-hodge-1.html",2005
"869",21,21,"PHO","Nate Robinson","Washington",11,618,13878,6807,1446,1826,0.423,0.36,0.796,27.8,0.096,0.5,8.6,2005,22.5,11,2.3,3,"https://www.sports-reference.com/cbb/players/nate-robinson-1.html",2005
"870",22,22,"DEN","Jarrett Jack","Georgia Tech",13,867,24140,9349,2487,3952,0.44,0.343,0.855,36.8,0.073,-0.9,6.5,2005,27.8,10.8,2.9,4.6,"https://www.sports-reference.com/cbb/players/jarrett-jack-1.html",2005
"871",23,23,"SAC","Francisco García","Louisville",10,549,11853,4323,1400,747,0.427,0.357,0.799,18.2,0.074,-0.1,5.7,2005,21.6,7.9,2.6,1.4,"https://www.sports-reference.com/cbb/players/francisco-garcía-1.html",2005
"872",24,24,"HOU","Luther Head","Illinois",6,348,7797,2842,845,747,0.423,0.388,0.773,14.7,0.09,0.1,4.2,2005,22.4,8.2,2.4,2.1,"https://www.sports-reference.com/cbb/players/luther-head-1.html",2005
"873",25,25,"OKC","Johan Petro","",8,473,7262,2202,1836,227,0.462,0.154,0.678,5.5,0.037,-4.6,-4.6,2005,15.4,4.7,3.9,0.5,NA,2005
"874",26,26,"DET","Jason Maxiell","Cincinnati",10,618,11379,3481,2576,266,0.495,0,0.564,20.3,0.086,-2.5,-1.4,2005,18.4,5.6,4.2,0.4,"https://www.sports-reference.com/cbb/players/jason-maxiell-1.html",2005
"875",27,27,"POR","Linas Kleiza","Missouri",7,409,8185,3561,1470,321,0.435,0.335,0.763,13.6,0.08,-2.3,-0.7,2005,20,8.7,3.6,0.8,"https://www.sports-reference.com/cbb/players/linas-kleiza-1.html",2005
"876",28,28,"SAS","Ian Mahinmi","",12,618,10353,3209,2705,357,0.533,0.16,0.612,26.1,0.121,-2,0.1,2005,16.8,5.2,4.4,0.6,NA,2005
"877",29,29,"MIA","Wayne Simien","Kansas",2,51,507,169,99,11,0.469,NA,0.854,0.9,0.083,-4.4,-0.3,2005,9.9,3.3,1.9,0.2,"https://www.sports-reference.com/cbb/players/wayne-simien-1.html",2005
"878",30,30,"NYK","David Lee","Florida",12,829,24293,11232,7320,1825,0.535,0.034,0.772,76,0.15,1.1,19.2,2005,29.3,13.5,8.8,2.2,"https://www.sports-reference.com/cbb/players/david-lee-1.html",2005
"879",31,31,"ATL","Salim Stoudamire","Arizona",3,157,2672,1260,214,164,0.407,0.366,0.882,2.2,0.04,-2.9,-0.6,2005,17,8,1.4,1,"https://www.sports-reference.com/cbb/players/salim-stoudamire-1.html",2005
"880",32,32,"LAC","Daniel Ewing","Duke",2,127,1683,431,158,174,0.389,0.295,0.78,0.8,0.024,-3,-0.4,2005,13.3,3.4,1.2,1.4,"https://www.sports-reference.com/cbb/players/daniel-ewing-1.html",2005
"881",33,33,"NOP","Brandon Bass","LSU",12,758,16410,6575,3448,608,0.499,0.207,0.832,42.8,0.125,-0.8,5.1,2005,21.6,8.7,4.5,0.8,"https://www.sports-reference.com/cbb/players/brandon-bass-1.html",2005
"882",34,34,"UTA","C.J. Miles","",16,849,17284,8108,2011,914,0.411,0.358,0.809,30.1,0.084,-0.4,6.9,2005,20.4,9.6,2.4,1.1,NA,2005
"883",35,35,"POR","Ricky Sánchez","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,2005
"884",36,36,"MIL","Ersan İlyasova","",13,825,18957,8364,4661,908,0.443,0.367,0.777,48.8,0.124,-0.1,9,2005,23,10.1,5.6,1.1,NA,2005
"885",37,37,"LAL","Ronny Turiaf","Gonzaga",10,473,8020,2209,1757,618,0.533,0,0.636,19.2,0.115,0.3,4.7,2005,17,4.7,3.7,1.3,"https://www.sports-reference.com/cbb/players/ronny-turiaf-1.html",2005
"886",38,38,"ORL","Travis Diener","Marquette",5,179,2660,854,243,432,0.388,0.353,0.847,5.6,0.102,-0.4,1.1,2005,14.9,4.8,1.4,2.4,"https://www.sports-reference.com/cbb/players/travis-diener-1.html",2005
"887",39,39,"LAL","Von Wafer","Florida State",6,200,2475,1054,234,146,0.42,0.325,0.751,3.3,0.064,-1.8,0.1,2005,12.4,5.3,1.2,0.7,"https://www.sports-reference.com/cbb/players/von-wafer-1.html",2005
"888",40,40,"GSW","Monta Ellis","",12,833,29011,14858,2874,3856,0.451,0.314,0.772,41.9,0.069,-0.3,12.4,2005,34.8,17.8,3.5,4.6,NA,2005
"889",41,41,"TOR","Roko Ukić","",2,85,987,341,78,165,0.387,0.189,0.746,-0.2,-0.007,-4.3,-0.6,2005,11.6,4,0.9,1.9,NA,2005
"890",42,42,"GSW","Chris Taft","Pitt",1,17,144,47,36,2,0.605,NA,0.167,0.5,0.155,-0.7,0,2005,8.5,2.8,2.1,0.1,"https://www.sports-reference.com/cbb/players/chris-taft-1.html",2005
"891",43,43,"BRK","Mile Ilić","",1,5,6,0,1,0,0,NA,NA,-0.2,-1.264,-52,-0.1,2005,1.2,0,0.2,0,NA,2005
"892",44,44,"ORL","Martynas Andriuškevičius","",1,6,9,0,4,0,0,NA,NA,0,0.155,5.2,0,2005,1.5,0,0.7,0,NA,2005
"893",45,45,"PHI","Lou Williams","",17,1107,26891,15511,2460,3765,0.419,0.351,0.842,65.7,0.117,1.4,23.3,2005,24.3,14,2.2,3.4,NA,2005
"894",46,46,"IND","Erazem Lorbek","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,2005
"895",47,47,"MIN","Bracey Wright","Indiana",2,26,325,129,39,20,0.405,0.324,0.794,0.5,0.068,-1.6,0,2005,12.5,5,1.5,0.8,"https://www.sports-reference.com/cbb/players/bracey-wright-1.html",2005
"896",48,48,"OKC","Mickaël Gelabale","",3,145,2348,670,330,115,0.47,0.316,0.815,3,0.062,-2.1,0,2005,16.2,4.6,2.3,0.8,NA,2005
"897",49,49,"WAS","Andray Blatche","",9,564,12462,5706,3024,798,0.467,0.237,0.725,19.2,0.074,-0.8,3.8,2005,22.1,10.1,5.4,1.4,NA,2005
"898",50,50,"BOS","Ryan Gomes","Providence",8,487,13463,4926,2239,712,0.445,0.349,0.799,19.4,0.069,-1.6,1.4,2005,27.6,10.1,4.6,1.5,"https://www.sports-reference.com/cbb/players/ryan-gomes-1.html",2005
"899",51,51,"UTA","Robert Whaley","Walsh University",1,23,212,49,43,17,0.404,NA,0.5,0,0.004,-5.1,-0.2,2005,9.2,2.1,1.9,0.7,"https://www.sports-reference.com/cbb/players/robert-whaley-1.html",2005
"900",52,52,"DEN","Axel Hervelle","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,2005
"901",53,53,"BOS","Orien Greene","Louisiana",4,131,1555,326,195,155,0.387,0.212,0.642,-0.7,-0.022,-4.6,-1,2005,11.9,2.5,1.5,1.2,"https://www.sports-reference.com/cbb/players/orien-greene-1.html",2005
"902",54,54,"NYK","Dijon Thompson","UCLA",2,16,93,45,19,3,0.425,0.308,0.875,0.2,0.102,-0.5,0,2005,5.8,2.8,1.2,0.2,"https://www.sports-reference.com/cbb/players/dijon-thompson-1.html",2005
"903",55,55,"OKC","Lawrence Roberts","Mississippi State",2,87,1150,334,310,35,0.452,0,0.688,2.5,0.106,-1.9,0,2005,13.2,3.8,3.6,0.4,"https://www.sports-reference.com/cbb/players/lawrence-roberts-1.html",2005
"904",56,56,"DET","Amir Johnson","",14,870,18323,6102,4692,1073,0.57,0.332,0.673,55.3,0.145,0.3,10.6,2005,21.1,7,5.4,1.2,NA,2005
"905",57,57,"PHO","Marcin Gortat","",12,806,20691,7951,6407,915,0.551,0.15,0.68,61.3,0.142,0.4,12.7,2005,25.7,9.9,7.9,1.1,NA,2005
"906",58,58,"TOR","Uroš Slokar","",1,20,72,38,14,1,0.538,0.5,0.692,0.1,0.042,-5.6,-0.1,2005,3.6,1.9,0.7,0.1,NA,2005
"907",59,59,"ATL","Cenk Akyol","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,2005
"908",60,60,"DET","Alex Acker","Pepperdine",2,30,234,81,29,16,0.37,0.32,0.5,-0.2,-0.043,-5.3,-0.2,2005,7.8,2.7,1,0.5,"https://www.sports-reference.com/cbb/players/alex-acker-1.html",2005
"909",1,1,"TOR","Andrea Bargnani","",10,550,15806,7873,2541,653,0.439,0.354,0.824,18.9,0.057,-1.6,1.5,2006,28.7,14.3,4.6,1.2,NA,2006
"910",2,2,"CHI","LaMarcus Aldridge","Texas",16,1068,36086,20488,8702,2067,0.493,0.32,0.812,115.3,0.153,1.7,33.3,2006,33.8,19.2,8.1,1.9,"https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html",2006
"911",3,3,"CHA","Adam Morrison","Gonzaga",3,161,3278,1200,342,222,0.373,0.331,0.71,-1.4,-0.021,-5,-2.4,2006,20.4,7.5,2.1,1.4,"https://www.sports-reference.com/cbb/players/adam-morrison-1.html",2006
"912",4,4,"POR","Tyrus Thomas","LSU",8,402,7932,3093,1938,347,0.438,0.235,0.732,13,0.078,-1.2,1.7,2006,19.7,7.7,4.8,0.9,"https://www.sports-reference.com/cbb/players/tyrus-thomas-1.html",2006
"913",5,5,"ATL","Shelden Williams","Duke",6,361,5586,1618,1562,163,0.462,0.222,0.74,9.9,0.085,-3,-1.5,2006,15.5,4.5,4.3,0.5,"https://www.sports-reference.com/cbb/players/shelden-williams-1.html",2006
"914",6,6,"MIN","Brandon Roy","Washington",6,326,11561,6136,1388,1517,0.459,0.348,0.8,37.4,0.155,3.6,16.3,2006,35.5,18.8,4.3,4.7,"https://www.sports-reference.com/cbb/players/brandon-roy-1.html",2006
"915",7,7,"BOS","Randy Foye","Villanova",11,752,19279,7729,1686,2112,0.401,0.366,0.852,23.5,0.058,-1.2,3.8,2006,25.6,10.3,2.2,2.8,"https://www.sports-reference.com/cbb/players/randy-foye-1.html",2006
"916",8,8,"HOU","Rudy Gay","UConn",16,1044,33406,17215,6040,2206,0.453,0.349,0.799,60.3,0.087,0.7,22.9,2006,32,16.5,5.8,2.1,"https://www.sports-reference.com/cbb/players/rudy-gay-1.html",2006
"917",9,9,"GSW","Patrick O'Bryant","Bradley",4,90,524,186,127,25,0.494,0,0.583,0.5,0.046,-4.6,-0.3,2006,5.8,2.1,1.4,0.3,"https://www.sports-reference.com/cbb/players/patrick-o'bryant-1.html",2006
"918",10,10,"OKC","Mouhamed Sene","",3,47,260,103,75,1,0.427,NA,0.589,0.3,0.052,-5.1,-0.2,2006,5.5,2.2,1.6,0,NA,2006
"919",11,11,"ORL","J.J. Redick","Duke",15,940,23964,12028,1903,1862,0.447,0.415,0.892,63.7,0.128,0.6,16,2006,25.5,12.8,2,2,"https://www.sports-reference.com/cbb/players/j.j.-redick-1.html",2006
"920",12,12,"CHA","Hilton Armstrong","UConn",6,292,3378,880,766,102,0.501,0.286,0.582,3.9,0.055,-4.1,-1.8,2006,11.6,3,2.6,0.3,"https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html",2006
"921",13,13,"PHI","Thabo Sefolosha","",14,869,19062,4994,3252,1196,0.449,0.349,0.732,39.3,0.099,0.6,12.4,2006,21.9,5.7,3.7,1.4,NA,2006
"922",14,14,"UTA","Ronnie Brewer","Arkansas",8,502,11539,3940,1427,828,0.49,0.254,0.675,30.4,0.127,1.6,10.6,2006,23,7.8,2.8,1.6,"https://www.sports-reference.com/cbb/players/ronnie-brewer-1.html",2006
"923",15,15,"CHA","Cedric Simmons","NC State",3,75,705,163,141,14,0.409,NA,0.39,0.1,0.005,-5,-0.5,2006,9.4,2.2,1.9,0.2,"https://www.sports-reference.com/cbb/players/cedric-simmons-1.html",2006
"924",16,16,"CHI","Rodney Carney","Memphis",5,299,4600,1778,588,132,0.422,0.338,0.704,6.2,0.064,-1.6,0.5,2006,15.4,5.9,2,0.4,"https://www.sports-reference.com/cbb/players/rodney-carney-1.html",2006
"925",17,17,"IND","Shawne Williams","Memphis",7,314,5368,1769,945,220,0.403,0.339,0.755,6.7,0.06,-2.2,-0.3,2006,17.1,5.6,3,0.7,"https://www.sports-reference.com/cbb/players/shawne-williams-1.html",2006
"926",18,18,"WAS","Oleksiy Pecherov","",3,111,1044,438,266,20,0.386,0.29,0.793,0.5,0.025,-4.8,-0.7,2006,9.4,3.9,2.4,0.2,NA,2006
"927",19,19,"SAC","Quincy Douby","Rutgers University",3,143,1535,588,152,93,0.389,0.312,0.884,0,0,-3.5,-0.6,2006,10.7,4.1,1.1,0.7,"https://www.sports-reference.com/cbb/players/quincy-douby-1.html",2006
"928",20,20,"NYK","Renaldo Balkman","South Carolina",6,221,3064,894,769,132,0.51,0.172,0.542,7.2,0.113,0.1,1.6,2006,13.9,4,3.5,0.6,"https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html",2006
"929",21,21,"PHO","Rajon Rondo","Kentucky",16,949,28440,9299,4335,7542,0.456,0.323,0.612,61.5,0.104,1.2,23.2,2006,30,9.8,4.6,7.9,"https://www.sports-reference.com/cbb/players/rajon-rondo-1.html",2006
"930",22,22,"BRK","Marcus Williams","UConn",4,203,3095,1128,361,574,0.386,0.321,0.767,0,-0.001,-3.3,-1,2006,15.2,5.6,1.8,2.8,"https://www.sports-reference.com/cbb/players/marcus-williams-1.html",2006
"931",23,23,"BRK","Josh Boone","UConn",4,256,4482,1340,1258,125,0.544,NA,0.445,9.1,0.097,-2,0,2006,17.5,5.2,4.9,0.5,"https://www.sports-reference.com/cbb/players/josh-boone-1.html",2006
"932",24,24,"MEM","Kyle Lowry","Villanova",16,1006,32057,14882,4403,6359,0.424,0.367,0.813,102.5,0.154,3.1,41.1,2006,31.9,14.8,4.4,6.3,"https://www.sports-reference.com/cbb/players/kyle-lowry-1.html",2006
"933",25,25,"CLE","Shannon Brown","Michigan State",9,408,7329,3118,760,458,0.42,0.332,0.807,9.2,0.06,-1.5,1,2006,18,7.6,1.9,1.1,"https://www.sports-reference.com/cbb/players/shannon-brown-1.html",2006
"934",26,26,"LAL","Jordan Farmar","UCLA",10,504,9840,3888,958,1453,0.423,0.374,0.739,13.9,0.068,-0.5,3.7,2006,19.5,7.7,1.9,2.9,"https://www.sports-reference.com/cbb/players/jordan-farmar-1.html",2006
"935",27,27,"PHO","Sergio Rodríguez","",5,353,5281,1747,525,1183,0.409,0.337,0.739,4.3,0.039,-2,0.1,2006,15,4.9,1.5,3.4,NA,2006
"936",28,28,"DAL","Maurice Ager","Michigan State",4,82,505,169,46,19,0.339,0.25,0.566,-0.9,-0.089,-9.4,-0.9,2006,6.2,2.1,0.6,0.2,"https://www.sports-reference.com/cbb/players/maurice-ager-1.html",2006
"937",29,29,"NYK","Mardy Collins","Temple",4,189,2771,742,336,327,0.38,0.299,0.599,-1.6,-0.027,-4.4,-1.7,2006,14.7,3.9,1.8,1.7,"https://www.sports-reference.com/cbb/players/mardy-collins-1.html",2006
"938",30,30,"POR","Joel Freeland","",3,151,1821,477,518,65,0.459,0,0.728,3.2,0.084,-3.3,-0.6,2006,12.1,3.2,3.4,0.4,NA,2006
"939",31,31,"POR","James White","Cincinnati",3,67,583,182,68,35,0.438,0.34,0.676,0.8,0.062,-3.2,-0.2,2006,8.7,2.7,1,0.5,"https://www.sports-reference.com/cbb/players/james-white-1.html",2006
"940",32,32,"HOU","Steve Novak","Marquette",11,467,5657,2177,591,132,0.437,0.43,0.877,14.5,0.123,0.8,4,2006,12.1,4.7,1.3,0.3,"https://www.sports-reference.com/cbb/players/steve-novak-1.html",2006
"941",33,33,"ATL","Solomon Jones","South Florida",8,281,3092,839,654,99,0.467,0.111,0.717,5,0.078,-4,-1.6,2006,11,3,2.3,0.4,"https://www.sports-reference.com/cbb/players/solomon-jones-1.html",2006
"942",34,34,"LAC","Paul Davis","Michigan State",4,82,702,217,158,32,0.402,0,0.732,0.5,0.035,-4.2,-0.4,2006,8.6,2.6,1.9,0.4,"https://www.sports-reference.com/cbb/players/paul-davis-1.html",2006
"943",35,35,"TOR","P.J. Tucker","Texas",11,758,22037,5438,4291,1109,0.425,0.366,0.747,39.1,0.085,-0.7,7,2006,29.1,7.2,5.7,1.5,"https://www.sports-reference.com/cbb/players/p.j.-tucker-1.html",2006
"944",36,36,"MIN","Craig Smith","Boston College",6,403,6826,3080,1567,322,0.553,0.037,0.661,16,0.113,-1.2,1.4,2006,16.9,7.6,3.9,0.8,"https://www.sports-reference.com/cbb/players/craig-smith-1.html",2006
"945",37,37,"MIN","Bobby Jones","Washington",2,91,867,288,149,44,0.442,0.306,0.685,1.1,0.06,-4.1,-0.5,2006,9.5,3.2,1.6,0.5,"https://www.sports-reference.com/cbb/players/bobby-jones-1.html",2006
"946",38,38,"GSW","Kosta Perović","",1,7,38,10,13,1,0.3,NA,0.667,0,0.06,-5.9,0,2006,5.4,1.4,1.9,0.1,NA,2006
"947",39,39,"MIL","David Noel","UNC",1,68,792,184,123,65,0.367,0.321,0.86,0.4,0.024,-3.1,-0.2,2006,11.6,2.7,1.8,1,"https://www.sports-reference.com/cbb/players/david-noel-1.html",2006
"948",40,40,"OKC","Denham Brown","UConn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/denham-brown-1.html",2006
"949",41,41,"ORL","James Augustine","Illinois",2,27,156,42,33,4,0.514,NA,0.5,0.3,0.101,-2.7,0,2006,5.8,1.6,1.2,0.1,"https://www.sports-reference.com/cbb/players/james-augustine-1.html",2006
"950",42,42,"CLE","Daniel Gibson","Texas",7,397,9316,3115,792,775,0.402,0.407,0.78,16,0.082,-1,2.4,2006,23.5,7.8,2,2,"https://www.sports-reference.com/cbb/players/daniel-gibson-1.html",2006
"951",43,43,"CHA","Marcus Vinicius","",2,26,172,50,19,7,0.457,0.421,0.556,0.2,0.056,-3,0,2006,6.6,1.9,0.7,0.3,NA,2006
"952",44,44,"ORL","Lior Eliyahu","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,2006
"953",45,45,"IND","Alexander Johnson","Florida State",2,102,1302,439,275,30,0.517,NA,0.672,1.5,0.056,-4.6,-0.9,2006,12.8,4.3,2.7,0.3,"https://www.sports-reference.com/cbb/players/alexander-johnson-1.html",2006
"954",46,46,"UTA","Dee Brown","Illinois",2,68,711,140,69,119,0.34,0.25,0.643,0.1,0.008,-3,-0.2,2006,10.5,2.1,1,1.8,"https://www.sports-reference.com/cbb/players/dee-brown-1.html",2006
"955",47,47,"UTA","Paul Millsap","Louisiana Tech",16,1078,30413,14516,7655,2375,0.489,0.342,0.736,95.4,0.151,1.9,30,2006,28.2,13.5,7.1,2.2,"https://www.sports-reference.com/cbb/players/paul-millsap-1.html",2006
"956",48,48,"WAS","Vladimir Veremeenko","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,2006
"957",49,49,"DEN","Leon Powe","California",5,239,3320,1484,911,78,0.515,0,0.682,12,0.174,-1.6,0.3,2006,13.9,6.2,3.8,0.3,"https://www.sports-reference.com/cbb/players/leon-powe-1.html",2006
"958",50,50,"CHA","Ryan Hollins","UCLA",10,518,6134,1913,1140,151,0.584,0,0.649,10.4,0.081,-4.1,-3.2,2006,11.8,3.7,2.2,0.3,"https://www.sports-reference.com/cbb/players/ryan-hollins-1.html",2006
"959",51,51,"LAL","Cheikh Samb","",2,22,114,22,31,1,0.25,0,0.444,-0.1,-0.056,-9.1,-0.2,2006,5.2,1,1.4,0,NA,2006
"960",52,52,"LAC","Guillermo Díaz","Miami (FL)",1,6,18,5,2,1,0.25,0,0.6,0,0.033,-2.9,0,2006,3,0.8,0.3,0.2,"https://www.sports-reference.com/cbb/players/guillermo-díaz-1.html",2006
"961",53,53,"OKC","Yotam Halperin","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,2006
"962",54,54,"BRK","Hassan Adams","Arizona",2,73,547,185,84,14,0.534,0,0.643,0.8,0.072,-2.3,0,2006,7.5,2.5,1.2,0.2,"https://www.sports-reference.com/cbb/players/hassan-adams-1.html",2006
"963",55,55,"CLE","Ejike Ugboaja","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,2006
"964",56,56,"TOR","Edin Bavčić","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,2006
"965",57,57,"MIN","Loukas Mavrokefalidis","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,2006
"966",58,58,"DAL","J.R. Pinnock","George Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,"https://www.sports-reference.com/cbb/players/j.r.-pinnock-1.html",2006
"967",59,59,"SAS","Damir Markota","",1,30,170,51,31,6,0.365,0.375,0.636,-0.2,-0.07,-8.5,-0.3,2006,5.7,1.7,1,0.2,NA,2006
"968",60,60,"DET","Will Blalock","Iowa State",1,14,166,25,15,17,0.3,0.2,1,-0.1,-0.032,-5.8,-0.2,2006,11.9,1.8,1.1,1.2,"https://www.sports-reference.com/cbb/players/will-blalock-1.html",2006
"969",1,1,"POR","Greg Oden","Ohio State",3,105,2028,840,656,51,0.574,NA,0.658,7.3,0.174,-0.4,0.8,2007,19.3,8,6.2,0.5,"https://www.sports-reference.com/cbb/players/greg-oden-1.html",2007
"970",2,2,"OKC","Kevin Durant","Texas",14,920,33775,24936,6506,3888,0.495,0.383,0.883,152.3,0.216,6.8,74.8,2007,36.7,27.1,7.1,4.2,"https://www.sports-reference.com/cbb/players/kevin-durant-1.html",2007
"971",3,3,"ATL","Al Horford","Florida",15,932,30034,12802,7625,3085,0.514,0.357,0.758,97.9,0.156,2.8,36.8,2007,32.2,13.7,8.2,3.3,"https://www.sports-reference.com/cbb/players/al-horford-1.html",2007
"972",4,4,"MEM","Mike Conley","Ohio State",15,938,30031,13954,2815,5298,0.439,0.381,0.821,85.3,0.136,2.5,34.1,2007,32,14.9,3,5.6,"https://www.sports-reference.com/cbb/players/mike-conley-1.html",2007
"973",5,5,"BOS","Jeff Green","Georgetown",14,1030,29939,13084,4441,1596,0.447,0.34,0.805,49.2,0.079,-1.3,4.9,2007,29.1,12.7,4.3,1.5,"https://www.sports-reference.com/cbb/players/jeff-green-1.html",2007
"974",6,6,"MIL","Yi Jianlian","",5,272,6038,2148,1339,192,0.404,0.333,0.78,3.1,0.025,-4.3,-3.5,2007,22.2,7.9,4.9,0.7,NA,2007
"975",7,7,"MIN","Corey Brewer","Florida",13,819,18771,7097,2287,1250,0.425,0.284,0.713,22.5,0.058,-1.6,2,2007,22.9,8.7,2.8,1.5,"https://www.sports-reference.com/cbb/players/corey-brewer-1.html",2007
"976",8,8,"CHA","Brandan Wright","UNC",10,428,6949,2976,1560,199,0.607,0,0.674,26.2,0.181,2.3,7.5,2007,16.2,7,3.6,0.5,"https://www.sports-reference.com/cbb/players/brandan-wright-1.html",2007
"977",9,9,"CHI","Joakim Noah","Florida",13,672,18646,5881,6058,1907,0.491,0,0.7,61.9,0.159,2.5,20.9,2007,27.7,8.8,9,2.8,"https://www.sports-reference.com/cbb/players/joakim-noah-1.html",2007
"978",10,10,"SAC","Spencer Hawes","Washington",10,684,15541,5932,3893,1271,0.457,0.35,0.716,22.6,0.07,-1.1,3.4,2007,22.7,8.7,5.7,1.9,"https://www.sports-reference.com/cbb/players/spencer-hawes-1.html",2007
"979",11,11,"ATL","Acie Law","Texas A&M",4,188,2385,725,195,309,0.413,0.235,0.778,1.6,0.032,-3.9,-1.1,2007,12.7,3.9,1,1.6,"https://www.sports-reference.com/cbb/players/acie-law-1.html",2007
"980",12,12,"PHI","Thaddeus Young","Georgia Tech",15,1061,31336,13698,6239,1960,0.502,0.33,0.665,67.7,0.104,0.5,19.5,2007,29.5,12.9,5.9,1.8,"https://www.sports-reference.com/cbb/players/thaddeus-young-1.html",2007
"981",13,13,"CHA","Julian Wright","Kansas",4,231,3049,907,531,182,0.499,0.262,0.584,3.9,0.061,-0.5,1.2,2007,13.2,3.9,2.3,0.8,"https://www.sports-reference.com/cbb/players/julian-wright-1.html",2007
"982",14,14,"LAC","Al Thornton","Florida State",4,296,8274,3527,1233,353,0.452,0.293,0.747,6.1,0.035,-3.5,-3.2,2007,28,11.9,4.2,1.2,"https://www.sports-reference.com/cbb/players/al-thornton-1.html",2007
"983",15,15,"DET","Rodney Stuckey","Eastern Washington",10,651,17890,8185,1912,2333,0.423,0.3,0.824,28.7,0.077,-0.9,4.9,2007,27.5,12.6,2.9,3.6,"https://www.sports-reference.com/cbb/players/rodney-stuckey-1.html",2007
"984",16,16,"WAS","Nick Young","USC",12,720,16419,8194,1427,687,0.418,0.376,0.836,18.6,0.054,-2.2,-0.8,2007,22.8,11.4,2,1,"https://www.sports-reference.com/cbb/players/nick-young-1.html",2007
"985",17,17,"BRK","Sean Williams","Boston College",4,137,1978,581,472,47,0.511,0,0.624,3,0.073,-3.1,-0.6,2007,14.4,4.2,3.4,0.3,"https://www.sports-reference.com/cbb/players/sean-williams-1.html",2007
"986",18,18,"GSW","Marco Belinelli","",13,860,19548,8370,1769,1429,0.424,0.376,0.846,30.5,0.075,-1.3,3.3,2007,22.7,9.7,2.1,1.7,NA,2007
"987",19,19,"LAL","Javaris Crittenton","Georgia Tech",2,113,1853,595,276,201,0.442,0.231,0.638,0.1,0.002,-4.2,-1,2007,16.4,5.3,2.4,1.8,"https://www.sports-reference.com/cbb/players/javaris-crittenton-1.html",2007
"988",20,20,"MIA","Jason Smith","Colorado State",11,616,10029,3777,2075,453,0.468,0.333,0.783,14.1,0.067,-2.9,-2.4,2007,16.3,6.1,3.4,0.7,"https://www.sports-reference.com/cbb/players/jason-smith-1.html",2007
